ConvNeXt-XL: train_bb False, hidden_dim 128, lr=0.001
Step 100: Test (3.7s): Average loss: 0.6667, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1600: Test (0.4s): Average loss: 0.4886, Accuracy: 844/1024 (82.42%), TPR: 95.73%, TNR: 66.23%, TNR+TPR/2: 80.98%
Step 1700: Test (0.4s): Average loss: 0.4768, Accuracy: 845/1024 (82.52%), TPR: 95.37%, TNR: 66.88%, TNR+TPR/2: 81.13%
Step 1800: Test (0.4s): Average loss: 0.4643, Accuracy: 852/1024 (83.20%), TPR: 95.37%, TNR: 68.40%, TNR+TPR/2: 81.89%
Step 1900: Test (0.4s): Average loss: 0.4577, Accuracy: 856/1024 (83.59%), TPR: 95.02%, TNR: 69.70%, TNR+TPR/2: 82.36%
Step 2000: Test (0.4s): Average loss: 0.4560, Accuracy: 855/1024 (83.50%), TPR: 95.20%, TNR: 69.26%, TNR+TPR/2: 82.23%
ConvNeXt-XL: train_bb False, hidden_dim 128, lr=0.0001
Step 100: Test (0.4s): Average loss: 0.6803, Accuracy: 568/1024 (55.47%), TPR: 99.64%, TNR: 1.73%, TNR+TPR/2: 50.69%
Step 200: Test (0.4s): Average loss: 0.6768, Accuracy: 563/1024 (54.98%), TPR: 99.82%, TNR: 0.43%, TNR+TPR/2: 50.13%
Step 300: Test (0.4s): Average loss: 0.6737, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 400: Test (0.4s): Average loss: 0.6709, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 500: Test (0.4s): Average loss: 0.6684, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 600: Test (0.4s): Average loss: 0.6661, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 700: Test (0.4s): Average loss: 0.6640, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 800: Test (0.4s): Average loss: 0.6622, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 900: Test (0.4s): Average loss: 0.6605, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1000: Test (0.4s): Average loss: 0.6589, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1100: Test (0.4s): Average loss: 0.6575, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1200: Test (0.4s): Average loss: 0.6561, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1300: Test (0.4s): Average loss: 0.6547, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1400: Test (0.4s): Average loss: 0.6534, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1500: Test (0.4s): Average loss: 0.6521, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1600: Test (0.4s): Average loss: 0.6507, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1700: Test (0.4s): Average loss: 0.6491, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1800: Test (0.4s): Average loss: 0.6474, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1900: Test (0.4s): Average loss: 0.6455, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 2000: Test (0.4s): Average loss: 0.6435, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
ConvNeXt-XL: train_bb False, hidden_dim 256, lr=0.001
Step 100: Test (0.4s): Average loss: 0.6736, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 200: Test (0.4s): Average loss: 0.6825, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 300: Test (0.4s): Average loss: 0.6708, Accuracy: 567/1024 (55.37%), TPR: 100.00%, TNR: 1.08%, TNR+TPR/2: 50.54%
Step 400: Test (0.4s): Average loss: 0.6258, Accuracy: 630/1024 (61.52%), TPR: 99.82%, TNR: 14.94%, TNR+TPR/2: 57.38%
Step 500: Test (0.4s): Average loss: 0.5739, Accuracy: 728/1024 (71.09%), TPR: 95.02%, TNR: 41.99%, TNR+TPR/2: 68.50%
Step 600: Test (0.4s): Average loss: 0.5355, Accuracy: 803/1024 (78.42%), TPR: 89.68%, TNR: 64.72%, TNR+TPR/2: 77.20%
Step 700: Test (0.4s): Average loss: 0.5091, Accuracy: 821/1024 (80.18%), TPR: 86.12%, TNR: 72.94%, TNR+TPR/2: 79.53%
Step 800: Test (0.4s): Average loss: 0.4901, Accuracy: 826/1024 (80.66%), TPR: 86.83%, TNR: 73.16%, TNR+TPR/2: 80.00%
Step 900: Test (0.4s): Average loss: 0.4826, Accuracy: 833/1024 (81.35%), TPR: 89.68%, TNR: 71.21%, TNR+TPR/2: 80.45%
Step 1000: Test (0.4s): Average loss: 0.4859, Accuracy: 826/1024 (80.66%), TPR: 91.81%, TNR: 67.10%, TNR+TPR/2: 79.46%
Step 1100: Test (0.4s): Average loss: 0.4914, Accuracy: 827/1024 (80.76%), TPR: 92.70%, TNR: 66.23%, TNR+TPR/2: 79.47%
Step 1200: Test (0.4s): Average loss: 0.5019, Accuracy: 830/1024 (81.05%), TPR: 94.31%, TNR: 64.94%, TNR+TPR/2: 79.62%
Step 1300: Test (0.4s): Average loss: 0.5143, Accuracy: 829/1024 (80.96%), TPR: 95.91%, TNR: 62.77%, TNR+TPR/2: 79.34%
Step 1400: Test (0.4s): Average loss: 0.5104, Accuracy: 834/1024 (81.45%), TPR: 95.73%, TNR: 64.07%, TNR+TPR/2: 79.90%
Step 1500: Test (0.4s): Average loss: 0.4986, Accuracy: 845/1024 (82.52%), TPR: 95.20%, TNR: 67.10%, TNR+TPR/2: 81.15%
Step 1600: Test (0.4s): Average loss: 0.4852, Accuracy: 844/1024 (82.42%), TPR: 94.48%, TNR: 67.75%, TNR+TPR/2: 81.12%
Step 1700: Test (0.4s): Average loss: 0.4852, Accuracy: 843/1024 (82.32%), TPR: 94.13%, TNR: 67.97%, TNR+TPR/2: 81.05%
Step 1800: Test (0.3s): Average loss: 0.4886, Accuracy: 838/1024 (81.84%), TPR: 93.59%, TNR: 67.53%, TNR+TPR/2: 80.56%
Step 1900: Test (0.4s): Average loss: 0.4917, Accuracy: 843/1024 (82.32%), TPR: 94.31%, TNR: 67.75%, TNR+TPR/2: 81.03%
Step 2000: Test (0.4s): Average loss: 0.5103, Accuracy: 839/1024 (81.93%), TPR: 94.84%, TNR: 66.23%, TNR+TPR/2: 80.54%
ConvNeXt-XL: train_bb False, hidden_dim 256, lr=0.0001
Step 100: Test (0.4s): Average loss: 0.6897, Accuracy: 558/1024 (54.49%), TPR: 98.75%, TNR: 0.65%, TNR+TPR/2: 49.70%
Step 200: Test (0.4s): Average loss: 0.6845, Accuracy: 562/1024 (54.88%), TPR: 99.82%, TNR: 0.22%, TNR+TPR/2: 50.02%
Step 300: Test (0.4s): Average loss: 0.6802, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 400: Test (0.4s): Average loss: 0.6766, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 500: Test (0.4s): Average loss: 0.6736, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 600: Test (0.4s): Average loss: 0.6710, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 700: Test (0.4s): Average loss: 0.6689, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 800: Test (0.4s): Average loss: 0.6671, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 900: Test (0.4s): Average loss: 0.6655, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1000: Test (0.4s): Average loss: 0.6641, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1100: Test (0.4s): Average loss: 0.6627, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1200: Test (0.4s): Average loss: 0.6613, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1300: Test (0.4s): Average loss: 0.6598, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1400: Test (0.4s): Average loss: 0.6582, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1500: Test (0.4s): Average loss: 0.6563, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1600: Test (0.4s): Average loss: 0.6542, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1700: Test (0.4s): Average loss: 0.6516, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1800: Test (0.4s): Average loss: 0.6487, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1900: Test (0.4s): Average loss: 0.6454, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 2000: Test (0.4s): Average loss: 0.6418, Accuracy: 568/1024 (55.47%), TPR: 100.00%, TNR: 1.30%, TNR+TPR/2: 50.65%
ConvNeXt-XL: train_bb False, hidden_dim 512, lr=0.001
Step 100: Test (0.4s): Average loss: 0.6748, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 200: Test (0.4s): Average loss: 0.6687, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 300: Test (0.4s): Average loss: 0.6115, Accuracy: 627/1024 (61.23%), TPR: 99.82%, TNR: 14.29%, TNR+TPR/2: 57.05%
Step 400: Test (0.4s): Average loss: 0.5513, Accuracy: 790/1024 (77.15%), TPR: 91.99%, TNR: 59.09%, TNR+TPR/2: 75.54%
Step 500: Test (0.4s): Average loss: 0.5138, Accuracy: 813/1024 (79.39%), TPR: 85.77%, TNR: 71.65%, TNR+TPR/2: 78.71%
Step 600: Test (0.4s): Average loss: 0.4914, Accuracy: 815/1024 (79.59%), TPR: 85.94%, TNR: 71.86%, TNR+TPR/2: 78.90%
Step 700: Test (0.4s): Average loss: 0.4869, Accuracy: 824/1024 (80.47%), TPR: 88.43%, TNR: 70.78%, TNR+TPR/2: 79.61%
Step 800: Test (0.4s): Average loss: 0.4969, Accuracy: 821/1024 (80.18%), TPR: 90.57%, TNR: 67.53%, TNR+TPR/2: 79.05%
Step 900: Test (0.4s): Average loss: 0.5183, Accuracy: 831/1024 (81.15%), TPR: 94.66%, TNR: 64.72%, TNR+TPR/2: 79.69%
Step 1000: Test (0.4s): Average loss: 0.5369, Accuracy: 826/1024 (80.66%), TPR: 95.20%, TNR: 62.99%, TNR+TPR/2: 79.09%
Step 1100: Test (0.4s): Average loss: 0.5319, Accuracy: 833/1024 (81.35%), TPR: 95.20%, TNR: 64.50%, TNR+TPR/2: 79.85%
Step 1200: Test (0.4s): Average loss: 0.5205, Accuracy: 842/1024 (82.23%), TPR: 94.66%, TNR: 67.10%, TNR+TPR/2: 80.88%
Step 1300: Test (0.4s): Average loss: 0.5104, Accuracy: 845/1024 (82.52%), TPR: 93.42%, TNR: 69.26%, TNR+TPR/2: 81.34%
Step 1400: Test (0.4s): Average loss: 0.5113, Accuracy: 844/1024 (82.42%), TPR: 92.88%, TNR: 69.70%, TNR+TPR/2: 81.29%
Step 1500: Test (0.4s): Average loss: 0.5216, Accuracy: 843/1024 (82.32%), TPR: 92.70%, TNR: 69.70%, TNR+TPR/2: 81.20%
Step 1600: Test (0.4s): Average loss: 0.5333, Accuracy: 838/1024 (81.84%), TPR: 92.53%, TNR: 68.83%, TNR+TPR/2: 80.68%
Step 1700: Test (0.4s): Average loss: 0.5819, Accuracy: 832/1024 (81.25%), TPR: 93.95%, TNR: 65.80%, TNR+TPR/2: 79.88%
Step 1800: Test (0.4s): Average loss: 0.6463, Accuracy: 822/1024 (80.27%), TPR: 95.73%, TNR: 61.47%, TNR+TPR/2: 78.60%
Step 1900: Test (0.4s): Average loss: 0.7266, Accuracy: 811/1024 (79.20%), TPR: 96.80%, TNR: 57.79%, TNR+TPR/2: 77.29%
Step 2000: Test (0.4s): Average loss: 0.7899, Accuracy: 808/1024 (78.91%), TPR: 97.51%, TNR: 56.28%, TNR+TPR/2: 76.89%
ConvNeXt-XL: train_bb False, hidden_dim 512, lr=0.0001
Step 100: Test (0.4s): Average loss: 0.6839, Accuracy: 645/1024 (62.99%), TPR: 86.30%, TNR: 34.63%, TNR+TPR/2: 60.47%
Step 200: Test (0.4s): Average loss: 0.6771, Accuracy: 586/1024 (57.23%), TPR: 99.64%, TNR: 5.63%, TNR+TPR/2: 52.64%
Step 300: Test (0.4s): Average loss: 0.6717, Accuracy: 572/1024 (55.86%), TPR: 100.00%, TNR: 2.16%, TNR+TPR/2: 51.08%
Step 400: Test (0.4s): Average loss: 0.6675, Accuracy: 569/1024 (55.57%), TPR: 100.00%, TNR: 1.52%, TNR+TPR/2: 50.76%
Step 500: Test (0.4s): Average loss: 0.6644, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 600: Test (0.4s): Average loss: 0.6622, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 700: Test (0.4s): Average loss: 0.6606, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 800: Test (0.4s): Average loss: 0.6594, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 900: Test (0.4s): Average loss: 0.6583, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1000: Test (0.4s): Average loss: 0.6572, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1100: Test (0.4s): Average loss: 0.6561, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1200: Test (0.4s): Average loss: 0.6548, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1300: Test (0.4s): Average loss: 0.6531, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1400: Test (0.4s): Average loss: 0.6508, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1500: Test (0.4s): Average loss: 0.6479, Accuracy: 565/1024 (55.18%), TPR: 100.00%, TNR: 0.65%, TNR+TPR/2: 50.32%
Step 1600: Test (0.4s): Average loss: 0.6444, Accuracy: 567/1024 (55.37%), TPR: 100.00%, TNR: 1.08%, TNR+TPR/2: 50.54%
Step 1700: Test (0.4s): Average loss: 0.6404, Accuracy: 568/1024 (55.47%), TPR: 100.00%, TNR: 1.30%, TNR+TPR/2: 50.65%
Step 1800: Test (0.4s): Average loss: 0.6359, Accuracy: 579/1024 (56.54%), TPR: 100.00%, TNR: 3.68%, TNR+TPR/2: 51.84%
Step 1900: Test (0.4s): Average loss: 0.6308, Accuracy: 584/1024 (57.03%), TPR: 100.00%, TNR: 4.76%, TNR+TPR/2: 52.38%
Step 2000: Test (0.4s): Average loss: 0.6251, Accuracy: 597/1024 (58.30%), TPR: 100.00%, TNR: 7.58%, TNR+TPR/2: 53.79%
ConvNeXt-XL: train_bb False, hidden_dim 1024, lr=0.001
Step 100: Test (0.4s): Average loss: 0.7393, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 200: Test (0.4s): Average loss: 0.6682, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 300: Test (0.4s): Average loss: 0.5652, Accuracy: 757/1024 (73.93%), TPR: 95.37%, TNR: 47.84%, TNR+TPR/2: 71.60%
Step 400: Test (0.4s): Average loss: 0.5196, Accuracy: 814/1024 (79.49%), TPR: 79.89%, TNR: 79.00%, TNR+TPR/2: 79.45%
Step 500: Test (0.4s): Average loss: 0.4925, Accuracy: 813/1024 (79.39%), TPR: 77.22%, TNR: 82.03%, TNR+TPR/2: 79.63%
Step 600: Test (0.4s): Average loss: 0.4731, Accuracy: 823/1024 (80.37%), TPR: 84.34%, TNR: 75.54%, TNR+TPR/2: 79.94%
Step 700: Test (0.4s): Average loss: 0.4894, Accuracy: 827/1024 (80.76%), TPR: 91.28%, TNR: 67.97%, TNR+TPR/2: 79.62%
Step 800: Test (0.4s): Average loss: 0.5333, Accuracy: 820/1024 (80.08%), TPR: 94.48%, TNR: 62.55%, TNR+TPR/2: 78.52%
Step 900: Test (0.4s): Average loss: 0.5685, Accuracy: 812/1024 (79.30%), TPR: 96.09%, TNR: 58.87%, TNR+TPR/2: 77.48%
Step 1000: Test (0.4s): Average loss: 0.5729, Accuracy: 819/1024 (79.98%), TPR: 95.73%, TNR: 60.82%, TNR+TPR/2: 78.28%
Step 1100: Test (0.4s): Average loss: 0.5430, Accuracy: 838/1024 (81.84%), TPR: 94.13%, TNR: 66.88%, TNR+TPR/2: 80.51%
Step 1200: Test (0.4s): Average loss: 0.5159, Accuracy: 838/1024 (81.84%), TPR: 91.46%, TNR: 70.13%, TNR+TPR/2: 80.79%
Step 1300: Test (0.4s): Average loss: 0.5043, Accuracy: 836/1024 (81.64%), TPR: 88.79%, TNR: 72.94%, TNR+TPR/2: 80.87%
Step 1400: Test (0.4s): Average loss: 0.5123, Accuracy: 844/1024 (82.42%), TPR: 89.68%, TNR: 73.59%, TNR+TPR/2: 81.64%
Step 1500: Test (0.4s): Average loss: 0.5424, Accuracy: 845/1024 (82.52%), TPR: 92.88%, TNR: 69.91%, TNR+TPR/2: 81.40%
Step 1600: Test (0.4s): Average loss: 0.6347, Accuracy: 827/1024 (80.76%), TPR: 96.44%, TNR: 61.69%, TNR+TPR/2: 79.06%
Step 1700: Test (0.4s): Average loss: 0.7512, Accuracy: 812/1024 (79.30%), TPR: 98.40%, TNR: 56.06%, TNR+TPR/2: 77.23%
Step 1800: Test (0.4s): Average loss: 0.8362, Accuracy: 798/1024 (77.93%), TPR: 98.93%, TNR: 52.38%, TNR+TPR/2: 75.66%
Step 1900: Test (0.4s): Average loss: 0.8754, Accuracy: 795/1024 (77.64%), TPR: 98.93%, TNR: 51.73%, TNR+TPR/2: 75.33%
Step 2000: Test (0.4s): Average loss: 0.8331, Accuracy: 811/1024 (79.20%), TPR: 98.40%, TNR: 55.84%, TNR+TPR/2: 77.12%
ConvNeXt-XL: train_bb False, hidden_dim 1024, lr=0.0001
Step 100: Test (0.4s): Average loss: 0.6769, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.4s): Average loss: 0.6707, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 300: Test (0.4s): Average loss: 0.6661, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 400: Test (0.4s): Average loss: 0.6623, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 500: Test (0.4s): Average loss: 0.6592, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 600: Test (0.4s): Average loss: 0.6563, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 700: Test (0.4s): Average loss: 0.6529, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 800: Test (0.4s): Average loss: 0.6491, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 900: Test (0.4s): Average loss: 0.6447, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1000: Test (0.4s): Average loss: 0.6396, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 1100: Test (0.4s): Average loss: 0.6341, Accuracy: 568/1024 (55.47%), TPR: 100.00%, TNR: 1.30%, TNR+TPR/2: 50.65%
Step 1200: Test (0.4s): Average loss: 0.6280, Accuracy: 575/1024 (56.15%), TPR: 100.00%, TNR: 2.81%, TNR+TPR/2: 51.41%
Step 1300: Test (0.4s): Average loss: 0.6216, Accuracy: 586/1024 (57.23%), TPR: 100.00%, TNR: 5.19%, TNR+TPR/2: 52.60%
Step 1400: Test (0.4s): Average loss: 0.6147, Accuracy: 599/1024 (58.50%), TPR: 100.00%, TNR: 8.01%, TNR+TPR/2: 54.00%
Step 1500: Test (0.4s): Average loss: 0.6076, Accuracy: 625/1024 (61.04%), TPR: 99.82%, TNR: 13.85%, TNR+TPR/2: 56.84%
Step 1600: Test (0.4s): Average loss: 0.5999, Accuracy: 649/1024 (63.38%), TPR: 99.47%, TNR: 19.48%, TNR+TPR/2: 59.47%
Step 1700: Test (0.4s): Average loss: 0.5922, Accuracy: 675/1024 (65.92%), TPR: 98.93%, TNR: 25.76%, TNR+TPR/2: 62.34%
Step 1800: Test (0.4s): Average loss: 0.5845, Accuracy: 692/1024 (67.58%), TPR: 97.51%, TNR: 31.17%, TNR+TPR/2: 64.34%
Step 1900: Test (0.4s): Average loss: 0.5770, Accuracy: 724/1024 (70.70%), TPR: 97.15%, TNR: 38.53%, TNR+TPR/2: 67.84%
Step 2000: Test (0.4s): Average loss: 0.5698, Accuracy: 752/1024 (73.44%), TPR: 96.62%, TNR: 45.24%, TNR+TPR/2: 70.93%
ResNet-50: train_bb False, hidden_dim 128, lr=0.001
Step 100: Test (0.4s): Average loss: 0.7203, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.3s): Average loss: 0.7884, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 300: Test (0.3s): Average loss: 0.7485, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 400: Test (0.3s): Average loss: 0.6635, Accuracy: 571/1024 (55.76%), TPR: 99.82%, TNR: 2.16%, TNR+TPR/2: 50.99%
Step 500: Test (0.3s): Average loss: 0.5952, Accuracy: 714/1024 (69.73%), TPR: 95.37%, TNR: 38.53%, TNR+TPR/2: 66.95%
Step 600: Test (0.3s): Average loss: 0.5579, Accuracy: 798/1024 (77.93%), TPR: 89.32%, TNR: 64.07%, TNR+TPR/2: 76.70%
Step 700: Test (0.3s): Average loss: 0.5402, Accuracy: 806/1024 (78.71%), TPR: 89.32%, TNR: 65.80%, TNR+TPR/2: 77.56%
Step 800: Test (0.3s): Average loss: 0.5388, Accuracy: 796/1024 (77.73%), TPR: 92.53%, TNR: 59.74%, TNR+TPR/2: 76.13%
Step 900: Test (0.3s): Average loss: 0.5561, Accuracy: 781/1024 (76.27%), TPR: 95.37%, TNR: 53.03%, TNR+TPR/2: 74.20%
Step 1000: Test (0.3s): Average loss: 0.5695, Accuracy: 778/1024 (75.98%), TPR: 96.62%, TNR: 50.87%, TNR+TPR/2: 73.74%
Step 1100: Test (0.3s): Average loss: 0.5700, Accuracy: 779/1024 (76.07%), TPR: 95.91%, TNR: 51.95%, TNR+TPR/2: 73.93%
Step 1200: Test (0.3s): Average loss: 0.5682, Accuracy: 793/1024 (77.44%), TPR: 95.91%, TNR: 54.98%, TNR+TPR/2: 75.44%
Step 1300: Test (0.3s): Average loss: 0.5512, Accuracy: 806/1024 (78.71%), TPR: 95.02%, TNR: 58.87%, TNR+TPR/2: 76.95%
